interval,region,focal_channel,channel,value
1,1,1,1,0.47
1,1,1,2,0.62
1,1,1,3,0.60
1,4,1,4,0.11
1,4,1,5,0.74
1,4,1,6,0.26
1,4,1,7,0.19
1,4,1,8,0.12
1,4,1,9,0.37
1,4,1,10,0.91
1,1,1,11,0.01
1,1,1,12,0.30
1,3,1,13,0.23
1,3,1,14,0.13
1,3,1,15,0.96
1,3,1,16,0.18
1,2,1,17,0.76
1,2,1,18,0.87
1,2,1,19,0.07
1,2,1,20,0.41
1,1,2,1,0.98
1,1,2,2,0.04
1,1,2,3,0.78
1,4,2,4,0.81
1,4,2,5,0.04
1,4,2,6,0.51
1,4,2,7,0.27
1,4,2,8,0.30
1,4,2,9,0.03
1,4,2,10,0.38
1,1,2,11,0.08
1,1,2,12,0.84
1,3,2,13,0.32
1,3,2,14,0.87
1,3,2,15,0.02
1,3,2,16,0.60
1,2,2,17,0.34
1,2,2,18,0.66
1,2,2,19,0.22
1,2,2,20,0.10
1,1,3,1,0.61
1,1,3,2,0.55
1,1,3,3,0.10
1,4,3,4,0.82
1,4,3,5,0.82
1,4,3,6,0.89
1,4,3,7,0.98
1,4,3,8,0.40
1,4,3,9,0.43
1,4,3,10,0.47
1,1,3,11,0.40
1,1,3,12,0.79
1,3,3,13,0.14
1,3,3,14,0.26
1,3,3,15,0.98
1,3,3,16,0.98
1,2,3,17,0.51
1,2,3,18,0.53
1,2,3,19,0.87
1,2,3,20,0.66
1,1,4,1,0.91
1,1,4,2,0.39
1,1,4,3,0.53
1,4,4,4,0.53
1,4,4,5,0.82
1,4,4,6,0.78
1,4,4,7,0.23
1,4,4,8,0.39
1,4,4,9,0.05
1,4,4,10,0.54
1,1,4,11,0.56
1,1,4,12,0.53
1,3,4,13,0.47
1,3,4,14,0.03
1,3,4,15,0.28
1,3,4,16,0.53
1,2,4,17,0.72
1,2,4,18,0.18
1,2,4,19,0.71
1,2,4,20,0.27
1,1,5,1,0.65
1,1,5,2,0.47
1,1,5,3,0.16
1,4,5,4,0.54
1,4,5,5,0.82
1,4,5,6,0.33
1,4,5,7,0.26
1,4,5,8,0.64
1,4,5,9,0.71
1,4,5,10,0.22
1,1,5,11,0.49
1,1,5,12,0.96
1,3,5,13,0.68
1,3,5,14,0.25
1,3,5,15,0.74
1,3,5,16,0.58
1,2,5,17,0.02
1,2,5,18,0.97
1,2,5,19,0.39
1,2,5,20,0.12
1,1,6,1,0.84
1,1,6,2,0.52
1,1,6,3,0.21
1,4,6,4,0.15
1,4,6,5,0.91
1,4,6,6,0.59
1,4,6,7,0.69
1,4,6,8,0.63
1,4,6,9,0.66
1,4,6,10,0.69
1,1,6,11,0.30
1,1,6,12,0.80
1,3,6,13,0.42
1,3,6,14,0.70
1,3,6,15,0.25
1,3,6,16,0.96
1,2,6,17,0.16
1,2,6,18,0.61
1,2,6,19,0.60
1,2,6,20,0.46
1,1,7,1,0.09
1,1,7,2,0.51
1,1,7,3,0.78
1,4,7,4,0.72
1,4,7,5,0.73
1,4,7,6,0.99
1,4,7,7,0.42
1,4,7,8,0.01
1,4,7,9,0.65
1,4,7,10,0.62
1,1,7,11,0.30
1,1,7,12,0.87
1,3,7,13,0.04
1,3,7,14,0.33
1,3,7,15,0.04
1,3,7,16,0.69
